Ref no.,Address,Lat long
265,"9UA, jawahar nagar, Delhi, Delhi - NCR","28.6790725,77.206796"
213," 280, Indira Vihar, Delhi, Delhi - NCR","28.7059829,77.2142303"
84," 4/ 53 2nd floor, Vijay nagar, 110009, Delhi, Delhi - NCR","28.6927826,77.2051276"
100," I-4/36, ground floor, sector 16, Rohini, Delhi, Delhi - NCR","28.7375918,77.123317"
118," Hno.1409, Sector 55, 121004, Faridabad, Delhi - NCR","28.346503,77.299481"
26," C 1743 second floor, Palam vihar, 122017, Gurgaon, Delhi - NCR","28.5037204,77.0305304"
185," 64 UA, jawahar nagar, 110007, Delhi, Delhi - NCR","28.6809111,77.2045867"
165," H-140,gali number 9, raj nagar part 2, Palam colony, Delhi, Delhi - NCR","28.5883142,77.0905098"
72," 193, Surya Niketan, Vivek Vihar Phase-2, 110092, Delhi, Delhi - NCR","28.655816,77.3097972"
161," Room no. 3, 91 UB Durga Bhawan, jawahar nagar, Delhi, Delhi - NCR","28.677776,77.2055462"
221," 31 U/A, Jawahar Nagar, Manik Niwas Girls PG., Kamla Nagar, Delhi, Delhi - NCR","28.6801045,77.2080152"
90," Second floor 27 d old gupta colony, vijay nagar, 110009, Delhi, Delhi - NCR","28.6918621,77.1987432"
140," B-34, manavsthali apartment, Vasundhara enclave, 110096, Delhi, Delhi - NCR","28.5986262,77.321135"
5," Room No - 402. H.No. 187/67, Behind Oriental Bank of Commerce, Sector 17 A, 122001, Gurgaon, Delhi - NCR","28.4782532,77.0609781"
141," H-5B,2nd floor ,single story, Vijay nagar, Delhi, Delhi - NCR","28.6917398,77.2024441"
53," B-100A 1st round about, kalka ji, Delhi, Delhi - NCR","28.5404234,77.2430813"
231," 819/p, near ramada hotel, Sector 45, 122003, Gurgaon, Delhi - NCR","28.447925,77.0670365"
57," Ground floor, H- 20 Gupta colony, Malviya Nagar, 10017, Delhi, Delhi - NCR","28.5311747,77.2087987"
93," G-327, ground floor, Preet vihar, 110092, Delhi, Delhi - NCR","28.6413675,77.2991919"
173," J-2/56 dda flats, 2nd floor, Kalka ji, 110019, Delhi, Delhi - NCR","28.5258777,77.2558888"
55," 1 goela lane, Under hill road, Opposite transport authority, Civil lines, 110054, Delhi, Delhi - NCR","28.6785464,77.2202987"
160," B-3/202-203,sec-6, Rohini, 110085, Delhi, Delhi - NCR","28.7140285,77.1122075"
88," 193, Surya Niketan, Vivek Vihar Phase-2, 110092, Delhi, Delhi - NCR","28.655816,77.3097972"
104," H-1/127, First Floor, Sector -16, Rohini, 110089, Delhi, Delhi - NCR","28.7332328,77.1232691"
166," B10B, single story, 3rd floor, Vijay nagar, 110009, Delhi, Delhi - NCR","28.6916618,77.2026795"
11," B2 sectr 6, Rohini, Delhi, Delhi - NCR","28.7140285,77.1122075"
61," Second floor B14 Dayanand Colony, Lajpat Nagar, 110024, Delhi, Delhi - NCR","28.5620536,77.2471358"
123," 1809/9 Govindpuri Extension, kalka ji, 110019, Delhi, Delhi - NCR","28.5342567,77.2584548"
117," 2/16 top floor, Malviya Nagar, Delhi, Delhi - NCR","28.5337016,77.2143681"
1," 8/12 shaktisadan, Roop nagar, 110007, Delhi, Delhi - NCR","28.6865019,77.2020866"
2," House no 208 satyug darshan vidyalaya, faridabad, Delhi - NCR","28.5967311,77.295504"
181," 106 tarun enclave, Pitampura, 110034, Delhi, Delhi - NCR","28.6955077,77.1138609"
7," 5818/6 nandniwas, New chandrawal, 110007, Delhi, Delhi - NCR","28.6803485,77.2063726"
210," b 20 paryavarn complex saket near pvr saket, Saket, Delhi, Delhi - NCR","28.515108,77.2023584"
6," 44/14 U block, dlf phase 3, Gurgaon, Delhi - NCR","28.4948703,77.0946605"
68," F-351 GROUND FLOOR, Mansarovar garden, Delhi, Delhi - NCR","28.6434739,77.1321952"
163," rdc-42, Rajnagar, 200102, Ghaziabad, Delhi - NCR","28.6762914,77.4438587"
150," E-181, Prashant vihar, Rohini, 110085, Delhi, Delhi - NCR","28.7168198,77.1384515"
246," 3816/7, Kanhaiya nagar, 110052, Delhi, Delhi - NCR","28.6835221,77.1610265"
183," Hno.1561, Sector 55, 121004, Faridabad, Delhi - NCR","28.344594,77.2972935"
38," 5798/7 Naagar Paying Guest, New Chandrawal, Kamla Nagar, 110009, Delhi, Delhi - NCR","28.679373,77.206369"
78," Hno.1309, Sector 55, 121004, Faridabad, Delhi - NCR","28.3453895,77.2929226"
112," H/17 single storey, Vijay nagar, Delhi, Delhi - NCR","28.6936974,77.2023261"
205," 5798/7 Naagar Paying Guest, New Chandrawal, Kamla Nagar, 110009, Delhi, Delhi - NCR","28.679373,77.206369"
167," Pocket k 8b, phase 2, Sheikh Sarai, Delhi, Delhi - NCR","28.5331705,77.2300245"
143," UP 30, Pitampura, Delhi, Delhi - NCR","28.7109687,77.1414749"
233," 1754, Sohanganj, 110007, Delhi, Delhi - NCR",
158," D-5 ramphal chowk, sec 9., Dwarka, Delhi, Delhi - NCR",
